"airport","code","airlines"
"Abu Dhabi, United Arab Emirates","AUH","Etihad Airways"
"Accra, Ghana","ACC","Delta"
"Amman, Jordan","AMM","Alia-(The) Royal Jordanian"
"Amsterdam, Netherlands","AMS","Klm, Delta"
"Aruba, Aruba","AUA","Delta, JetBlue"
"Baku, Azerbaijan","GYD","Azerbaijan Airlines CJSC"
"Barbados/Bridgetown, Barbados","BGI","JetBlue"
"Barcelona, Spain","BCN","Delta, American"
"Beijing, China","PEK","Air China"
"Belgrade, Serbia","BEG","Air Serbia"
"Berlin, Germany","TXL","Lufthansa"
"Bogota, Colombia","BOG","Omni Air International LLC, Aerovias Nacl De Colombia"
"Brussels, Belgium","BRU","Brussels Airlines N.V., Delta"
"Cairo, Egypt","CAI","Egyptair"
"Calgary, Canada","YYC","Westjet"
"Cancun, Mexico","CUN","ABC Aerolineas SA de CV dba Interjet, Delta, JetBlue, American"
"Cartagena, Colombia","CTG","Aerovias Nacl De Colombia, JetBlue"
"Casablanca, Morocco","CMN","Royal Air Maroc"
"Chengdu, China","CTU","Hainan Airlines Company Limited"
"Chongqing, China","CKG","Hainan Airlines Company Limited"
"Copenhagen, Denmark","CPH","Norwegian Air Shuttle ASA"
"Dakar Thies, Senegal","DSS","Delta"
"Delhi, India","DEL","Air India"
"Doha, Qatar","DOH","Qatar Airways"
"Dubai, United Arab Emirates","DXB","Emirates"
"Dublin, Ireland","DUB","Aer Lingus, Delta"
"Ezeiza, Argentina","EZE","Aerolineas Argentinas, American"
"Fort de France, Martinique","FDF","Norwegian Air International"
"Frankfurt, Germany","FRA","Singapore Airlines, Lufthansa, Delta"
"Fuzhou, China","FOC","Xiamen Airlines Co."
"Geneva, Switzerland","GVA","Swiss"
"Georgetown, Guyana","GEO","Caribbean Airlines, Fly Jamaica Airways Limited"
"Grand Cayman, Cayman Islands","GCM","Cayman Airways Limited, JetBlue"
"Grenada, Grenada","GND","JetBlue, Delta"
"Guadalajara, Mexico","GDL","Volaris"
"Guangzhou, China","CAN","China Southern"
"Guayaquil, Ecuador","GYE","LAN"
"Hamilton, Bermuda","BDA","Delta, JetBlue, American"
"Havana, Cuba","HAV","Delta, JetBlue"
"Helsinki, Finland","HEL","Finnair Oy"
"Hong Kong, Hong Kong","HKG","Cathay Pacific"
"Istanbul, Turkey","IST","Turk Hava Yollari A.O."
"Jeddah, Saudi Arabia","JED","Saudi Arabian Airlines"
"Johannesburg, South Africa","JNB","South African Airways"
"Keflavik/Reykjavik, Iceland","KEF","Icelandair, Delta"
"Kiev, Ukraine","KBP","Ukraine International Airlines"
"Kingston, Jamaica","KIN","Caribbean Airlines, Fly Jamaica Airways Limited, National Air Cargo Groupd/ba National Airlines, JetBlue"
"Kuwait, Kuwait","KWI","Kuwait Airways"
"La Romana, Dominican Republic","LRM","JetBlue"
"Liberia, Costa Rica","LIR","JetBlue"
"Lima, Peru","LIM","LAN"
"Lisbon, Portugal","LIS","TAP Portugal"
"London, United Kingdom","LGW","Norwegian Air Shuttle ASA, British Airways"
"London, United Kingdom","LHR","Virgin Atlantic, British Airways, Delta, American"
"Madrid, Spain","MAD","Iberia, Air Europa, American, Delta"
"Manchester, United Kingdom","MAN","Virgin Atlantic, Thomas Cook Airlines Uk"
"Medellin, Colombia","MDE","Aerovias Nacl De Colombia"
"Mexico City, Mexico","MEX","Aeromexico, Volaris, ABC Aerolineas SA de CV dba Interjet, Delta"
"Milan, Italy","MXP","Alitalia, Emirates, American, Delta"
"Montego Bay, Jamaica","MBJ","Caribbean Airlines, Delta, JetBlue"
"Monterrey, Mexico","MTY","Aerolitoral"
"Montreal, Canada","YUL","Envoy Air, Endeavor Air"
"Moscow, Russia","SVO","Aeroflot"
"Munich, Germany","MUC","Lufthansa"
"Nassau, The Bahamas","NAS","JetBlue, Delta"
"Oslo, Norway","OSL","Norwegian Air Shuttle ASA"
"Panama City, Panama","PTY","Copa"
"Paris, France","CDG","Delta, Compagnie Natl Air France, XL Airways France, Norwegian Air Shuttle ASA, American"
"Paris, France","ORY","Compagnie Natl Air France, Elysair / L’Avion"
"Philipsburg, Sint Maarten","SXM","JetBlue"
"Pointe A Pitre, Guadeloupe","PTP","Norwegian Air International"
"Port of Spain, Trinidad and Tobago","POS","Caribbean Airlines, JetBlue"
"Port-au-Prince, Haiti","PAP","American, JetBlue"
"Providenciales, Turks and Caicos Islands","PLS","JetBlue, Delta"
"Puerto Plata, Dominican Republic","POP","Miami Air International, JetBlue"
"Punta Cana, Dominican Republic","PUJ","JetBlue, Delta"
"Quito, Ecuador","UIO","Tame Linea Aerea del Ecuador Tme EP"
"Riga, Latvia","RIX","Uzbekistan Airways"
"Rio de Janeiro, Brazil","GIG","Delta, American"
"Riyadh, Saudi Arabia","RUH","Saudi Arabian Airlines"
"Rome, Italy","FCO","Alitalia, Delta"
"San Jose del Cabo, Mexico","SJD","Delta"
"San Salvador, El Salvador","SAL","TACA, Lacsa"
"Santiago, Chile","SCL","LAN"
"Santiago, Dominican Republic","STI","American, Delta, JetBlue"
"Santo Domingo, Dominican Republic","SDQ","American, Delta, JetBlue"
"Sao Paulo, Brazil","GRU","Transportes Aeros Meridiona, Oceanair Linhas Aereas S A, American, Delta"
"Seoul, South Korea","ICN","Korean Air, Asiana"
"Shanghai, China","PVG","China Eastern"
"St. Johns, Antigua and Barbuda","ANU","JetBlue, American"
"St. Kitts, Saint Kitts and Nevis","SKB","Delta, American"
"St. Lucia, Saint Lucia","UVF","JetBlue"
"Stockholm, Sweden","ARN","Norwegian Air Shuttle ASA"
"Taipei, Taiwan","TPE","China Airlines, Eva"
"Tel Aviv, Israel","TLV","El Al Israel Airlines, Delta"
"Tobago, Trinidad and Tobago","TAB","Caribbean Airlines"
"Tokyo, Japan","HND","Japan Air Lines (JAL), Cathay Pacific, All Nippon Airways (ANA)"
"Tokyo, Japan","NRT","Japan Air Lines (JAL), All Nippon Airways (ANA)"
"Toronto, Canada","YYZ","Delta, GoJet Airlines LLC / United Express, Envoy Air, Endeavor Air"
"Vancouver, Canada","YVR","Philippine Airlines, Cathay Pacific"
"Vienna, Austria","VIE","Austrian Airlines"
"Warsaw, Poland","WAW","LOT Polish Airlines"
"Willemstad, Curacao","CUR","JetBlue"
"Zurich, Switzerland","ZRH","Swiss, American, Delta"
